,cuisine,ingr_count,ingr_pct,ingredient
0,Italian,553.0,5.18,pepper
1,Irish,473.0,4.72,pepper
2,English,588.0,5.61,pepper
3,Chinese,545.0,4.25,pepper
4,French,771.0,5.64,pepper
5,Cuban,564.0,5.75,pepper
6,Spanish,827.0,5.43,pepper
7,Hungarian,487.0,6.2,pepper
8,Greek,796.0,5.11,pepper
9,Moroccan,721.0,4.25,pepper
10,Swedish,432.0,5.79,pepper
11,Mexican,473.0,4.02,pepper
12,Hawaiian,425.0,5.04,pepper
13,Japanese,284.0,2.5,pepper
14,Indian,440.0,2.75,pepper
15,German,666.0,5.94,pepper
16,Thai,552.0,3.48,pepper
17,American,768.0,6.73,pepper
0,Italian,530.0,4.96,salt
1,Irish,496.0,4.95,salt
2,English,630.0,6.01,salt
3,Chinese,416.0,3.24,salt
4,French,798.0,5.84,salt
5,Cuban,548.0,5.59,salt
6,Spanish,715.0,4.7,salt
7,Hungarian,494.0,6.29,salt
8,Greek,791.0,5.08,salt
9,Moroccan,781.0,4.61,salt
10,Swedish,454.0,6.09,salt
11,Mexican,401.0,3.41,salt
12,Hawaiian,317.0,3.76,salt
13,Japanese,343.0,3.02,salt
14,Indian,845.0,5.28,salt
15,German,679.0,6.05,salt
16,Thai,322.0,2.03,salt
17,American,736.0,6.45,salt
0,Italian,274.0,2.56,onion
1,Irish,588.0,5.87,onion
2,English,504.0,4.81,onion
3,Chinese,455.0,3.54,onion
4,French,576.0,4.21,onion
5,Cuban,459.0,4.68,onion
6,Spanish,790.0,5.19,onion
7,Hungarian,549.0,6.99,onion
8,Greek,646.0,4.15,onion
9,Moroccan,761.0,4.49,onion
10,Swedish,426.0,5.71,onion
11,Mexican,538.0,4.57,onion
12,Hawaiian,378.0,4.48,onion
13,Japanese,425.0,3.75,onion
14,Indian,764.0,4.78,onion
15,German,687.0,6.12,onion
16,Thai,452.0,2.85,onion
17,American,430.0,3.77,onion
0,Italian,488.0,4.57,garlic
1,Irish,321.0,3.2,garlic
2,English,254.0,2.42,garlic
3,Chinese,661.0,5.15,garlic
4,French,546.0,4.0,garlic
5,Cuban,563.0,5.74,garlic
6,Spanish,835.0,5.48,garlic
7,Hungarian,313.0,3.99,garlic
8,Greek,760.0,4.88,garlic
9,Moroccan,716.0,4.22,garlic
10,Swedish,125.0,1.68,garlic
11,Mexican,326.0,2.77,garlic
12,Hawaiian,278.0,3.3,garlic
13,Japanese,306.0,2.7,garlic
14,Indian,759.0,4.74,garlic
15,German,161.0,1.44,garlic
16,Thai,667.0,4.21,garlic
17,American,381.0,3.34,garlic
0,Italian,402.0,3.76,clove
1,Irish,307.0,3.07,clove
2,English,225.0,2.15,clove
3,Chinese,518.0,4.04,clove
4,French,511.0,3.74,clove
5,Cuban,467.0,4.76,clove
6,Spanish,739.0,4.85,clove
7,Hungarian,277.0,3.53,clove
8,Greek,642.0,4.12,clove
9,Moroccan,654.0,3.86,clove
10,Swedish,99.0,1.33,clove
11,Mexican,257.0,2.18,clove
12,Hawaiian,199.0,2.36,clove
13,Japanese,236.0,2.08,clove
14,Indian,605.0,3.78,clove
15,German,220.0,1.96,clove
16,Thai,558.0,3.52,clove
17,American,324.0,2.84,clove
0,Italian,530.0,4.96,olive oil
1,Irish,185.0,1.85,olive oil
2,English,239.0,2.28,olive oil
3,Chinese,66.0,0.51,olive oil
4,French,532.0,3.89,olive oil
5,Cuban,363.0,3.7,olive oil
6,Spanish,844.0,5.54,olive oil
7,Hungarian,150.0,1.91,olive oil
8,Greek,762.0,4.89,olive oil
9,Moroccan,702.0,4.14,olive oil
10,Swedish,99.0,1.33,olive oil
11,Mexican,210.0,1.78,olive oil
12,Hawaiian,97.0,1.15,olive oil
13,Japanese,66.0,0.58,olive oil
14,Indian,151.0,0.94,olive oil
15,German,119.0,1.06,olive oil
16,Thai,94.0,0.59,olive oil
17,American,301.0,2.64,olive oil
0,Italian,216.0,2.02,chicken
