ingredient,American,Chinese,Cuban,English,French,German,Greek,Hawaiian,Hungarian,Indian,Irish,Italian,Japanese,Mexican,Moroccan,Spanish,Swedish,Thai,total
allspice,19.0,0.0,13.0,17.0,10.0,40.0,29.0,3.0,2.0,5.0,35.0,0.0,1.0,1.0,71.0,4.0,228.0,0.0,478.0
bacon,53.0,6.0,22.0,60.0,207.0,167.0,3.0,61.0,58.0,0.0,82.0,36.0,10.0,12.0,2.0,22.0,11.0,1.0,813.0
basil,46.0,11.0,4.0,30.0,79.0,4.0,94.0,19.0,8.0,3.0,12.0,271.0,7.0,7.0,18.0,14.0,4.0,337.0,968.0
bay leaf,54.0,5.0,147.0,75.0,277.0,195.0,21.0,3.0,80.0,116.0,226.0,21.0,3.0,20.0,58.0,162.0,22.0,12.0,1497.0
beef,86.0,64.0,98.0,361.0,145.0,219.0,120.0,76.0,181.0,27.0,357.0,143.0,107.0,224.0,100.0,53.0,382.0,49.0,2792.0
beef broth,32.0,5.0,29.0,75.0,77.0,79.0,10.0,3.0,71.0,2.0,129.0,7.0,5.0,14.0,20.0,11.0,170.0,2.0,741.0
bell pepper,142.0,75.0,169.0,6.0,62.0,15.0,111.0,140.0,148.0,47.0,5.0,60.0,26.0,134.0,75.0,347.0,5.0,235.0,1802.0
black pepper,387.0,119.0,252.0,260.0,335.0,241.0,351.0,94.0,179.0,175.0,225.0,248.0,108.0,130.0,340.0,258.0,176.0,82.0,3960.0
bread,70.0,4.0,34.0,45.0,108.0,104.0,114.0,28.0,12.0,16.0,20.0,66.0,33.0,8.0,29.0,75.0,188.0,11.0,965.0
breadcrumb,50.0,3.0,8.0,33.0,25.0,101.0,26.0,23.0,6.0,1.0,9.0,25.0,26.0,5.0,23.0,22.0,149.0,11.0,546.0
brown sugar,89.0,151.0,32.0,14.0,8.0,151.0,3.0,263.0,35.0,28.0,74.0,4.0,124.0,13.0,18.0,4.0,33.0,286.0,1330.0
butter,251.0,23.0,67.0,441.0,482.0,276.0,92.0,60.0,139.0,148.0,223.0,165.0,34.0,54.0,118.0,58.0,297.0,173.0,3101.0
cabbage,4.0,69.0,4.0,9.0,3.0,133.0,3.0,14.0,33.0,6.0,277.0,0.0,96.0,30.0,4.0,6.0,7.0,54.0,752.0
canola oil,33.0,88.0,25.0,20.0,36.0,72.0,11.0,19.0,29.0,59.0,24.0,8.0,75.0,35.0,16.0,11.0,13.0,68.0,642.0
carrot,57.0,122.0,22.0,179.0,241.0,122.0,22.0,29.0,76.0,53.0,515.0,25.0,166.0,7.0,242.0,52.0,12.0,170.0,2112.0
cayenne pepper,45.0,8.0,33.0,15.0,20.0,11.0,22.0,18.0,32.0,135.0,18.0,4.0,13.0,39.0,154.0,44.0,4.0,25.0,640.0
celery,107.0,26.0,11.0,79.0,103.0,67.0,10.0,25.0,41.0,8.0,147.0,21.0,10.0,3.0,41.0,15.0,16.0,1.0,731.0
cheddar cheese,49.0,0.0,6.0,110.0,17.0,27.0,11.0,29.0,1.0,0.0,45.0,6.0,1.0,299.0,2.0,5.0,7.0,0.0,615.0
cheese,169.0,0.0,95.0,221.0,278.0,83.0,566.0,157.0,17.0,18.0,82.0,618.0,3.0,625.0,29.0,46.0,46.0,6.0,3059.0
chicken,167.0,480.0,121.0,65.0,333.0,77.0,377.0,345.0,189.0,374.0,31.0,216.0,281.0,409.0,401.0,382.0,25.0,495.0,4768.0
chicken broth,150.0,95.0,65.0,24.0,122.0,59.0,41.0,42.0,115.0,22.0,29.0,76.0,23.0,64.0,161.0,225.0,28.0,89.0,1430.0
chicken stock,9.0,80.0,24.0,54.0,111.0,26.0,23.0,12.0,49.0,25.0,40.0,22.0,39.0,33.0,108.0,174.0,20.0,66.0,915.0
chickpea,1.0,1.0,2.0,3.0,5.0,1.0,29.0,1.0,1.0,89.0,1.0,3.0,3.0,3.0,266.0,42.0,2.0,10.0,463.0
chili,23.0,179.0,34.0,12.0,1.0,7.0,8.0,32.0,7.0,196.0,6.0,10.0,37.0,155.0,47.0,28.0,5.0,294.0,1081.0
chili powder,72.0,5.0,37.0,8.0,0.0,4.0,7.0,20.0,2.0,195.0,7.0,2.0,3.0,216.0,25.0,23.0,3.0,22.0,651.0
cilantro,57.0,47.0,211.0,2.0,2.0,1.0,8.0,74.0,1.0,362.0,5.0,5.0,41.0,356.0,362.0,62.0,1.0,439.0,2036.0
cinnamon,16.0,19.0,27.0,20.0,5.0,13.0,85.0,8.0,1.0,209.0,18.0,1.0,4.0,13.0,557.0,13.0,17.0,19.0,1045.0
clove,324.0,518.0,467.0,225.0,511.0,220.0,642.0,199.0,277.0,605.0,307.0,402.0,236.0,257.0,654.0,739.0,99.0,558.0,7240.0
coconut milk,3.0,1.0,6.0,1.0,4.0,1.0,0.0,30.0,2.0,200.0,1.0,1.0,4.0,0.0,9.0,2.0,8.0,520.0,793.0
coriander,14.0,14.0,28.0,12.0,13.0,11.0,36.0,4.0,2.0,552.0,23.0,0.0,11.0,28.0,418.0,18.0,0.0,139.0,1323.0
corn,54.0,96.0,20.0,22.0,10.0,10.0,10.0,29.0,7.0,13.0,14.0,5.0,39.0,388.0,5.0,10.0,2.0,35.0,769.0
cornstarch,38.0,409.0,8.0,32.0,23.0,31.0,4.0,119.0,29.0,18.0,34.0,2.0,65.0,3.0,2.0,8.0,18.0,57.0,900.0
cream,71.0,1.0,19.0,116.0,171.0,167.0,40.0,23.0,328.0,128.0,74.0,98.0,13.0,276.0,8.0,16.0,363.0,36.0,1948.0
cucumber,7.0,9.0,6.0,1.0,3.0,2.0,388.0,3.0,2.0,13.0,0.0,1.0,49.0,0.0,18.0,8.0,8.0,59.0,577.0
cumin,69.0,6.0,426.0,19.0,2.0,8.0,76.0,24.0,8.0,619.0,5.0,2.0,2.0,311.0,715.0,74.0,7.0,65.0,2438.0
curry,3.0,6.0,0.0,10.0,0.0,13.0,0.0,9.0,0.0,270.0,2.0,0.0,28.0,2.0,24.0,4.0,0.0,422.0,793.0
dijon mustard,98.0,2.0,22.0,54.0,107.0,48.0,25.0,9.0,3.0,0.0,49.0,3.0,7.0,0.0,2.0,7.0,38.0,0.0,474.0
dill,23.0,0.0,61.0,13.0,10.0,46.0,237.0,1.0,37.0,2.0,6.0,4.0,1.0,0.0,5.0,0.0,51.0,0.0,497.0
egg,43.0,96.0,18.0,139.0,151.0,184.0,69.0,32.0,31.0,12.0,27.0,89.0,123.0,19.0,28.0,52.0,107.0,71.0,1291.0
feta,12.0,0.0,0.0,1.0,13.0,1.0,652.0,2.0,3.0,0.0,0.0,8.0,0.0,11.0,17.0,3.0,0.0,0.0,723.0
fish sauce,0.0,14.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,8.0,0.0,0.0,6.0,0.0,669.0,709.0
flour,213.0,96.0,35.0,441.0,327.0,387.0,86.0,75.0,249.0,43.0,245.0,115.0,114.0,274.0,54.0,68.0,326.0,27.0,3175.0
garam masala,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,542.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,572.0
garlic,381.0,661.0,563.0,254.0,546.0,161.0,760.0,278.0,313.0,759.0,321.0,488.0,306.0,326.0,716.0,835.0,125.0,667.0,8460.0
garlic powder,66.0,45.0,48.0,30.0,11.0,26.0,89.0,67.0,21.0,13.0,16.0,64.0,11.0,75.0,34.0,25.0,43.0,15.0,699.0
ginger,34.0,589.0,11.0,15.0,5.0,44.0,4.0,223.0,2.0,730.0,13.0,0.0,460.0,4.0,470.0,10.0,40.0,395.0,3049.0
honey,32.0,145.0,17.0,14.0,22.0,19.0,35.0,102.0,3.0,17.0,18.0,10.0,87.0,12.0,140.0,12.0,11.0,68.0,764.0
kosher salt,69.0,42.0,104.0,89.0,160.0,76.0,145.0,34.0,53.0,85.0,58.0,105.0,74.0,79.0,154.0,140.0,56.0,64.0,1587.0
lamb,25.0,4.0,1.0,37.0,13.0,3.0,188.0,2.0,2.0,47.0,134.0,1.0,0.0,0.0,170.0,16.0,9.0,2.0,654.0
lemon,201.0,28.0,73.0,71.0,110.0,154.0,653.0,40.0,33.0,216.0,27.0,76.0,59.0,12.0,488.0,286.0,38.0,73.0,2638.0
lime,58.0,16.0,349.0,2.0,2.0,2.0,9.0,42.0,1.0,91.0,2.0,1.0,27.0,238.0,21.0,13.0,0.0,629.0,1503.0
masala,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,537.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,564.0
milk,93.0,4.0,20.0,262.0,105.0,125.0,73.0,65.0,21.0,220.0,89.0,76.0,15.0,29.0,18.0,22.0,239.0,512.0,1988.0
mint,20.0,2.0,35.0,11.0,4.0,1.0,171.0,1.0,0.0,49.0,5.0,2.0,3.0,1.0,145.0,4.0,0.0,79.0,533.0
mirin,0.0,15.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,1.0,2.0,596.0
mozzarella cheese,10.0,0.0,4.0,20.0,24.0,11.0,23.0,88.0,1.0,3.0,3.0,346.0,1.0,35.0,3.0,1.0,1.0,2.0,576.0
mushroom,73.0,121.0,5.0,200.0,283.0,98.0,23.0,31.0,79.0,14.0,61.0,76.0,170.0,24.0,13.0,39.0,85.0,65.0,1460.0
mustard,165.0,9.0,74.0,143.0,141.0,208.0,34.0,48.0,39.0,114.0,144.0,8.0,20.0,3.0,4.0,12.0,66.0,3.0,1235.0
nutmeg,18.0,0.0,5.0,59.0,59.0,59.0,45.0,7.0,4.0,28.0,13.0,28.0,3.0,1.0,30.0,10.0,238.0,7.0,614.0
olive,31.0,14.0,136.0,47.0,151.0,21.0,405.0,37.0,27.0,36.0,34.0,142.0,21.0,96.0,299.0,279.0,27.0,18.0,1821.0
olive oil,301.0,66.0,363.0,239.0,532.0,119.0,762.0,97.0,150.0,151.0,185.0,530.0,66.0,210.0,702.0,844.0,99.0,94.0,5510.0
onion,430.0,455.0,459.0,504.0,576.0,687.0,646.0,378.0,549.0,764.0,588.0,274.0,425.0,538.0,761.0,790.0,426.0,452.0,9702.0
oregano,70.0,0.0,334.0,21.0,34.0,12.0,646.0,19.0,6.0,0.0,13.0,131.0,0.0,112.0,19.0,87.0,14.0,0.0,1518.0
paprika,74.0,7.0,79.0,44.0,35.0,126.0,81.0,31.0,551.0,139.0,27.0,14.0,3.0,63.0,415.0,604.0,35.0,15.0,2343.0
parmesan cheese,43.0,1.0,3.0,42.0,54.0,16.0,52.0,11.0,2.0,0.0,20.0,485.0,1.0,5.0,4.0,8.0,15.0,2.0,764.0
