ingredient,American,Chinese,Cuban,English,French,German,Greek,Hawaiian,Hungarian,Indian,Irish,Italian,Japanese,Mexican,Moroccan,Spanish,Swedish,Thai,total
allspice,0.17,0.0,0.13,0.16,0.07,0.36,0.19,0.04,0.03,0.03,0.35,0.0,0.01,0.01,0.42,0.03,3.06,0.0,0.0022068838154158683
bacon,0.46,0.05,0.22,0.57,1.51,1.49,0.02,0.72,0.74,0.0,0.82,0.34,0.09,0.1,0.01,0.14,0.15,0.01,0.003753549250906069
basil,0.4,0.09,0.04,0.29,0.58,0.04,0.6,0.23,0.1,0.02,0.12,2.54,0.06,0.06,0.11,0.09,0.05,2.13,0.00446917057180452
bay leaf,0.47,0.04,1.5,0.72,2.03,1.74,0.13,0.04,1.02,0.73,2.26,0.2,0.03,0.17,0.34,1.06,0.29,0.08,0.006911516886354717
beef,0.75,0.5,1.0,3.44,1.06,1.95,0.77,0.9,2.3,0.17,3.56,1.34,0.94,1.9,0.59,0.35,5.12,0.31,0.012890417599667582
beef broth,0.28,0.04,0.3,0.72,0.56,0.7,0.06,0.04,0.9,0.01,1.29,0.07,0.04,0.12,0.12,0.07,2.28,0.01,0.003421131605069369
bell pepper,1.24,0.58,1.72,0.06,0.45,0.13,0.71,1.66,1.88,0.29,0.05,0.56,0.23,1.14,0.44,2.28,0.07,1.48,0.00831967496941296
black pepper,3.39,0.93,2.57,2.48,2.45,2.15,2.25,1.11,2.28,1.09,2.25,2.32,0.95,1.1,2.01,1.69,2.36,0.52,0.01828297052101849
bread,0.61,0.03,0.35,0.43,0.79,0.93,0.73,0.33,0.15,0.1,0.2,0.62,0.29,0.07,0.17,0.49,2.52,0.07,0.004455319836561324
breadcrumb,0.44,0.02,0.08,0.31,0.18,0.9,0.17,0.27,0.08,0.01,0.09,0.23,0.23,0.04,0.14,0.14,2.0,0.07,0.0025208338142616404
brown sugar,0.78,1.18,0.33,0.13,0.06,1.35,0.02,3.12,0.45,0.18,0.74,0.04,1.09,0.11,0.11,0.03,0.44,1.81,0.006140492624483483
butter,2.2,0.18,0.68,4.2,3.53,2.46,0.59,0.71,1.77,0.93,2.23,1.54,0.3,0.46,0.7,0.38,3.98,1.09,0.014317043329716752
