,cuisine,PC1,PC2,kmeans
0,American,-0.13813379180514535,0.08837138169177004,0
1,Chinese,0.5062403969451571,-0.22289782379156908,1
2,Cuban,0.13072903238738454,0.4569800054026094,3
3,English,-0.2363630225950035,-0.24731678860033265,2
4,French,-0.26047575020810115,-0.25438341180323437,2
5,German,-0.3068010648514524,-0.14674546914191483,2
6,Greek,-0.06959408134109094,0.08955687672315182,0
7,Hawaiian,0.06530188769794729,0.2564511316220748,0
8,Hungarian,-0.24705503493799502,-0.19418117235335805,2
9,Indian,0.33063663522553144,-0.011681239506743213,1
10,Irish,-0.2717609555228133,-0.05235796505360466,2
11,Italian,-0.12006481283119526,0.21191346429733318,0
12,Japanese,0.38347192616429326,-0.25370880234408966,1
13,Mexican,0.040102139069833065,0.6255300792454893,3
14,Moroccan,0.10325662595956013,-0.06278817644364151,4
15,Spanish,-0.05919632221679135,-0.050664958893751735,4
16,Swedish,-0.3105981214805539,-0.04497586952181698,2
17,Thai,0.46030431434043556,-0.1871012615283742,1
